number,class,clearance_level,description,image_url,,,,,,,
742,Keter,3," SCP-742 is a retrovirus, approximately ¦¦ times more complex than any known naturally occurring virus. SCP-742 infects all cell types but initially only enters the lytic cycle in helper-T cells, leading to a state of immuno-compromise that allows SCP-742 to infect every one of the infected subject’s cells. Infected cells secrete hormones that increase appetite as well as a signal-compound, once full infection is achieved concentration of this signal compound reaches a target level and the infection enters stage two.",,,,,,,,
743,Keter,3," SCP-743 is a stainless-steel chocolate fountain, 112 cm (44 in) tall and 47 cm (18.5 in) wide, with a mass of 35 kg (77 lb). On the base of SCP-743 is a laser-etched logo for Sephra, a company that specializes in producing chocolate fountains. SCP-743 usually appears to be in pristine condition: immaculately clean, well-polished, and completely undamaged. SCP-743 can be disassembled into its component parts (base, auger, cylinder, tiers, and crown), but standard examination of the individual components do not reveal any unusual traits.",http://scp-wiki.wikidot.com/local--files/scp-743/choco.jpg,,,,,,,
,,6," SCP-744 is the Olney Ironworks West Virginia Manufacturing Center, a structure that has become host to causal, spatial, . UPDATE (06/12/2010):  Potential links to  SCP-4370  are currently under investigation.  and semantic dissociation. SCP-744's anomalous traits appear to have gradually developed between February 1996 and March 1997, though the cause of their development has yet to be determined.",https://scp-wiki.wdfiles.com/local--files/scp-744/744-Thumbnail.png,,,,,,,
745,Euclid,2," SCP-745 is a bipedal nocturnal predator. The head is a bloated sack of clear skin that lacks visible sensory organs or a skull. The brain of the creature can be directly observed and is wrapped in a web of bio-luminescent organs below the skin. Skin covering the rest of the body has a deep black coloration. Living specimens of SCP-745 are capable of producing a steady output of 1400 to 3200 lumens from their head. At night, this effectively obscures the rest of the body and gives the appearance of a floating point of light. When defending itself or communicating with other members of its species, this light has been observed to change color and flash in specific patterns. SCP-745's genetic structure is not carbon based.",https://scp-wiki.wdfiles.com/local--files/scp-745/745.jpg,,,,,,,
746,Euclid,2," SCP-746 is a sapient avian humanoid, standing 1.3 meters tall and weighing 38 kilograms. The entity's face appears aged, and is a deep red with a 28 centimeters long beak-like nose. Most of its body is covered in rough black feathers, the longest being on the forearms, shoulders, neck, and head. Currently, SCP-746 wears a specialized leg brace provided by Foundation medical personnel on its left leg due to suffering a permanent crippling injury (see Addendum 01 for details).",https://scp-wiki.wdfiles.com/local--files/scp-746/Tengu2.jpg,,,,,,,
747,Euclid,2," SCP-747 is a phenomenon involving the appearance of children in any manner of animal masks. All instances of SCP-747 have been successfully identified as deceased children of appearance congruent with the time of death, excluding the masks. The commonality of the children, according to research, is that they all owned a doll precious to them at their time of death. Currently in containment there are seven (7) instances of SCP-747:",,,,,,,,
,,6," SCP-748 is an abandoned industrial complex capable of mass-production through anomalous technology. Located in Lowell, Massachusetts, SCP-748 was constructed beneath a non-anomalous factory. SCP-748's anomalous machines are rusted, damaged, and primarily disabled. Based on recovered documents, these machines would have required a level of power on par with a fusion reactor but their intended power source has yet to be discovered. The construction of SCP-748 appears to be incomplete. Evidence of this includes walled doorways, dead-end halls, and wires/pipes that connect to nothing. Posters throughout the complex display motivational/propagandistic slogans, including ""A HARD WORKER IS A HAPPY WORKER"" and ""ACTIVE MINDS LEAD TO IDLE HANDS"" (among others).",http://scp-wiki.wdfiles.com/local--files/scp-748/interior,,,,,,,
749,Safe,1," SCP-749 is an apex predator superficially resembling members of the subphylum  Myriapoda , approximately 3 m long with two to three hundred pairs of legs. Each individual SCP-749 possesses powerful forcipules which secrete a powerful acidic compound with a measured pH of 0.3.",,,,,,,,
750,Safe,1," SCP-750 is a group of twenty-four (24) contact lenses, designed presumably to correct myopic or hypermetropic vision. When a pair of SCP-750 is applied, they attach to the cornea and become unable to be removed physically by the wearer, though others can still remove them. Users of SCP-750 report an immediate blurring of their vision after application, followed by a period of extreme dizziness. When the user recovers from this daze, they describe a change in perception; this change seems to worsen with time, and prolonged exposure to the object will cause a wearer to permanently suffer the noted effects of SCP-750 even when the item has been removed from the cornea, in addition to affecting the wearer's sense of touch, smell, hearing, and taste. The only method of treatment at this point is to sever the optic nerve of the affected eye(s).",https://scp-wiki.wdfiles.com/local--files/scp-750/contact-lens.jpg,,,,,,,
751,Euclid,2," SCP-751 is an amorphous parasite that feeds off of the organs of humans and other mammals. It weighs approximately two (2) kilograms before infesting a host, and can weigh as little as twenty-five percent (25%) of this after reproduction. The majority of SCP-751's mass consists of an unknown substance with a gelatin-like consistency, with red veins running through it. Analysis has revealed that the veins contain a mix of blood from its progenitor's hosts along with varying anesthetics and immunosuppressive drugs. A full list of these chemicals is available in Document 751-C.",https://scp-wiki.wdfiles.com/local--files/scp-751/scp-751.png,,,,,,,
752,Keter,3," SCP-752 is an underground city in the northern ¦¦¦¦¦¦¦¦¦ Mountains, spanning ¦¦¦ km 2 , population approximately 10,000. An array of electric lighting devices powered by a geothermal generator create day and night matching the rhythm of the outside world. A shield built of an unknown metal surrounds the entire city and blocks all known signals and radiation, including sonar. Study of this metal is restricted to on-site efforts to minimize the chances of containment breach.",https://scp-wiki.wdfiles.com/local--files/scp-752/SCP-752.png,,,,,,,
753,Safe,1," SCP-753 is a highly advanced automaton approximately ten (10) centimeters across, six (6) centimeters wide and eight (8) centimeters tall. SCP-753 possesses two (2) pincer-like limbs protruding from its main circular body, which it uses to slowly move itself across the ground. This is likely due to SCP-753's locomotive functions having been damaged at an unknown point in its history.",https://scp-wiki.wdfiles.com/local--files/scp-753/753-new.jpg,,,,,,,
754,"Euclid (Request for Keter classification under review, 20¦¦/¦¦/¦¦)",6," SCP-754 is superficially similar to  Convolvulus arvensis , a flowering vine commonly known as ""morning glory"" or ""field bindweed"" in North America. Its leaves and vine are red with delicate black veins. Flowers, when present, are red with black mottling. SCP-754 will propagate in a manner similar to bindweed. However, it can overgrow any object, including those typically resistant to plant growth and water too deep for root stabilization. It can attain a top growth rate of ¦ metres per hour. It is inhibited by temperatures below 250 K (-23°C), and enters a dormant state when chilled below 150 K (-123°C).",https://scp-wiki.wdfiles.com/local--files/scp-754/SCP_754.jpg,,,,,,,
755,"Keter, containment pending.",2," SCP-755-a (hereafter referred to as 'the vandal') is a graffiti vandal who is thought at the time of the archiving of this report to be active in San[REDACTED]ia, though the work of the artist has been sighted in eight other cities in the continental US and Europe, including Denver, CO, Newark, NJ, Muni[REDACTED] Security footage shows the vandal to be a light-skinned individual with a slim build who stands approximately two meters in height. From the basic body type shown in the footage, it is assumed though not confirmed that the vandal is male. The vandal regularly travels large cities, leaving behind instances of SCP-755-b.",https://scp-wiki.wdfiles.com/local--files/scp-755/755.jpg,,,,,,,
756,Euclid,2," SCP-756 is a miniature solar system consisting of a single yellow sun and six orbiting planets, each with various moons and satellites. This system is restricted to the confines of a single large cell, originally intended for SCP-¦¦¦. The cell itself is now devoid of gravity and atmosphere, a state believed to be brought about by SCP-756’s “birth.”",,,,,,,,
757,Safe,1," SCP-757 is a fruit producing tree similar to  Prunus persica  (common peach tree), that is 3.63m tall. The texture and properties of its wood are identical to that of a  Malus domesticus  (apple tree); it is easily broken, damaged, or burnt. Its leaves are identical to those of ordinary  Prunus persica .",,,,,,,,
758,Safe,1," SCP-758 is a young Russian male, 1.9 meters tall, weighing roughly 110 kg. Full name Vasili ¦¦¦¦ ¦¦¦¦¦¦¦¦¦¦, found in ¦¦¦¦¦¦, Russia in 19¦¦. The subject was diagnosed as an extremely low functioning autistic at the age of four.",,,,,,,,
759,Euclid,2," SCP-759 is a 500-gram mass of sourdough starter composed primarily of wheat flour and water. The starter's active component is an ongoing culture of wild yeasts (including  Candida milleri  and  Saccharomyces exiguus ) in symbiotic balance with multiple strains of  Lactobacillus  and  Acetobacter  organisms. The original sample first came to Foundation attention after a sudden spontaneous outbreak of attempted murders motivated by apparently baseless jealousy in [REDACTED] County, Vermont. Without exception, the would-be murderers had recently participated in a pancake breakfast fundraiser at the local Methodist church. Further investigation led directly to a single batch of 'Old-Fashioned Melt-In-Your-Mouth Sourdough Flapjacks' produced by a chef with a longstanding untreated case of borderline personality disorder. The chef's starter was confiscated and replaced with a visually and olfactorily indistinguishable sample of equal mass and volume.",,,,,,,,
760,Safe,1," SCP-760 is a vaguely humanoid species of animal, only three of which have ever been obtained by the Foundation. The skeletal and muscular system of SCP-760 differ greatly in areas from those of humans, the most notable effects of these differences being legs that extrude perpendicular to the torso and an ape-like curvature of the spine that results in a preference to walk on all fours. Other notable differences include the addition of an extra joint on each finger of SCP-760, and an average of 150% of the joint degrees of freedom that are allowed for humans. This makes SCP-760 much more flexible than the average human, which aids specimens of SCP-760 during feeding.",,,,,,,,
761,Safe,1," SCP-761 is a steel trampoline frame, 2m in diameter and 3.5 meters tall. It shows no manufacturers mark, apart from a tag on the bottom of the original net which reads ""PROTO-5"".",,,,,,,,
762,Safe,1," SCP-762-1 is a torture device similar to the infamous Iron Maiden of Nuremberg. It was recovered in 19¦¦ from a box in the basement of [DATA EXPUNGED] in ¦¦¦¦¦¦, Austria. When opened, SCP-762 was found to have a male human in it, now known as SCP-762-2. When found inside SCP-762-1, SCP-762-2 had the device’s large spikes embedded in his flesh, but when removed from SCP-762-1, all of the subject’s wounds healed instantly. SCP-762-2 was found to be completely catatonic, but otherwise in decent health except for several rotten teeth and a large scar on his left arm. Given the unique properties of SCP-762-1, it may be impossible to determine how long SCP-762-2 was in the device. Dating on the device shows that it dates back to the late fifteenth century, so it is possible that SCP-762-2 has been in the device for centuries.",,,,,,,,
763,Safe,1," SCP-763 is a mass of human organic tissue occupying approximately three hundred (300) square meters of space with an estimated mass of over four thousand (4,000) kilograms. It is mostly in an irregular configuration of tissue, with the exception of SCP-763-A. Much of the mass of SCP-763 is muscular tissue with an abundance of blood vessels. This muscle tissue is highly atrophied and non-motile, though despite lack of use there is a great amount of blood flow at all times. Most of the structure is relatively thin at around ten (10) centimeters thick, allowing the blood flow to diffuse the high heat generated by the central mass, which is a large lump approximately two (2) meters high. This blood flow is provided by a large, central collection of hearts and a number of other hearts arrayed throughout SCP-763's structure. All the organs of the human body are present in SCP-763, located in a relatively even distribution throughout the system. The lungs are fed by a number of mouth-like round holes in SCP-763's skin. The feeding tubes pass directly into SCP-763 as though the flesh grew around them as its mass expanded.",,,,,,,,
764,Safe,1," SCP-764 is a pair of Punch and Judy puppets that display no exceptional characteristics upon visual inspection. When observed by individuals with no barrier between them and SCP-764-1 or SCP-764-2, a compulsion comes over a single person to 'put on a show' utilizing the puppets, even if none present have any skill, talent, or training regarding puppeteering. All others feel an overwhelming urge to watch the show, regarding all events taking place as the height of entertainment until the show is over. As the subject dons SCP-764-1 and SCP-764-2 (in no circumstances have SCP-764-1 and SCP-764-2 been seen placed on separate performers), any individuals without physical barriers between themselves and SCP-764 will find themselves compelled to sit and watch the show. The show begins as a normal Punch and Judy show, with light slapstick comedy and violence occurring between the puppets.",,,,,,,,
765,Safe,1," SCP-765 is a duck pond, discovered in the ¦¦¦¦¦¦¦¦¦ region of South Carolina in 197¦. SCP-765 appears to emanate an emotional effect causing what researchers have called ""serenity."" Researchers, guards, and test subjects within the field of SCP-765 report relaxed feelings, contentment with their life, and justification with their life choices. However, after seven to twelve days, the shift becomes one of lethargy, apathy, boredom, and depression. Further shifts beyond this are currently being monitored, with test subjects D-02841, D-02844, and D-02851 having been in the effect for over a ¦¦¦¦¦¦¦ ¦¦¦¦¦. Psychological reports on all these subjects are available at request with approval from Dr. G¦¦¦¦.",https://scp-wiki.wdfiles.com/local--files/scp-765/duckpond-new.jpg,,,,,,,
766,Safe,1," SCP-766 is a human-shaped anomaly in space that matter cannot pass through, making it, in effect, an invisible ""statue"" of a person. Plaster applied to the anomaly has allowed researchers to study its shape: It is in the shape of a perfectly anatomically correct nude woman in her late 30s with features consistent with the native population of the island. It is running, mid-stride, and looking behind, up, and to the left. The right hand forms a fist with the fingers leaving a hollow, cylindrical opening, suggesting that it once held an implement of some sort. A band on the left shoulder is indented in a way that the strap of a satchel might cause. SCP-766's facial expression appears both exhausted and startled.",,,,,,,,
767,Euclid,2, SCP-767 is the designation of a series of objects which was recovered from [REDACTED] Police Department on ¦¦/¦¦/19¦¦.,,,,,,,,
768,Safe,1," SCP-768 is a Seiko-brand travel alarm clock that is physically identical to a regular unit of its model in all regards. Its anomalous property is activated when the alarm feature of the clock is set and the alarm activates: instead of emitting a beeping alarm as in normal units of its model, it instead causes all alarms and alerts within 300 m to trigger. How SCP-768 accomplishes this is currently unknown, as disassembling SCP-768 and analyzing its components has revealed no irregularities or anomalous materials.",,,,,,,,
769,Safe,1," SCP-769 is a cup ten centimeters tall and twelve centimeters across. It is made of pottery with a golden glaze. It is covered with a white residue. Several preserved parts from cephalopods and other sea creatures are stuck in the residue. A pattern is carved into its rim; however, the pattern is obscured by the residue. It has been decided not to attempt removal of this residue or the items stuck within it, as efforts to restore SCP-769 may hamper its effects even further.",,,,,,,,
770,Keter,3," SCP-770 is a strain of mould that is similar in appearance to the common  Physarum polycephalum  slime mould. It is largely colourless and translucent in appearance, and will adhere to almost any surface. What sets SCP-770 apart is that it respires without oxidisation by means of a poorly understood nuclear reaction. When present on a surface, SCP-770 will absorb any radioactive isotopes, or any isotopes larger in atomic mass than iron-56, with preference given to heavier isotopes. These isotopes will then undergo a nuclear reaction in which they are reduced to more stable isotopes, and energy is released. The decay products of this reaction (normally lighter elements such as carbon, oxygen, or nitrogen), along with the energy produced, are used by SCP-770 as a source of sustenance so it may grow and reproduce (which it does by the periodic release of airborne spores). There is a strong possibility that the elements produced by SCP-770 will also be radioactive isotopes.",,,,,,,,
771,Keter,3," SCP-771 is a form of A.I. that appears to be constructed out of both organic and mechanical components. The metal components of SCP-771 are of varied origin and composition, with several still unidentified, but many appear to be broken or damaged. Its biological components appear to be extremely decayed, appearing to suffer from some form of degenerative disease or virus, with the mechanical components acting as a form of life support. Due to this impaired state, SCP-771 cannot function properly, and can only function for short periods of time, with many errors and ""glitches"" during that time.",,,,,,,,
772,Euclid,2," SCP-772 is a wasp of unknown species, superficially resembling members of the  Megarhyssa  genus. A mature adult is typically 60 cm in length, from head to abdomen, excluding antennae and ovipositor. This barbed ovipositor, reaching a length of up to 70 cm, is used to penetrate its host and deposit anywhere from 5 to 20 eggs. Eggs are typically 6 cm long and 2.5 cm in diameter. SCP-772 is meticulous and almost surgical during oviposition: it makes an incision no longer than 3 cm, and the host is paralysed and/or comatose for several hours until the wound can heal sufficiently. Injected along with the eggs is a polydnavirus uniquely adapted to suppress the immune system of mammals, analogous to the smaller parasitoid wasps which do the same to their caterpillar hosts.",https://i.postimg.cc/WN624Jkp/SCP-772.jpg,,,,,,,
773,Safe,1," SCP-773 is a standard English style dartboard with a diameter of 451 mm. It is divided into the standard twenty segments and an inner and outer bulls eye ring, along with the standard double and triple bands. SCP-773 was acquired by Agent ¦¦¦¦¦¦ from a Mr. ¦¦¦¦¦¦¦¦ of Gloucester, England residence, after an anomalous police report came to the attention of the Foundation. Mr. ¦¦¦¦¦¦¦¦ was found dead in his home, with several ruptured blood vessels, and a heart attack which proved fatal. Police were unable to identify any cause of death.",https://scp-wiki.wdfiles.com/local--files/scp-773/FivesDartboard.jpg,,,,,,,
774,Safe,1," SCP-774 is a by-product of the halogen azide [REDACTED] when [PROCESS REDACTED]. When in contact with the skin, it permeates the body's tissues and selectively attacks bone, dissolving the bone mineral and leaving only the soft collagen. This can occur in minutes or over the course of days, depending on the degree of exposure.",,,,,,,,
775,Keter,3," SCP-775 appears to be a form of arachnid of the order Ixodida, more commonly known as the tick. It is of a significantly larger size, with most un-engorged adults reaching a size comparable with a U.S. nickel. Coloration varies between black, red, yellow, grey, and various shades of each. Adults possess eight legs, while juveniles possess only six. SCP-775 is capable of making small leaps, and travels very rapidly along solid surfaces.",,,,,,,,
776,Euclid,2," SCP-776-A is the adult population of a remote town located in the far northwest corner of Russia, estimated at 6¦¦ individuals. The members of SCP-776-A have discovered a method of reversing biological aging, designated SCP-776-B. The ritual involves the sacrifice of a human being who must be younger than the performer of the ritual, with children being the preferable subjects of sacrifice. The complete instructions for enacting SCP-776-B have been recorded in Document 776-109-Alpha, a Level 776-4 restricted document. Members of SCP-776-A claim to have been using SCP-776-B since 18¦¦ to sustain eternal life and semi-eternal youth. Members of SCP-776-A refuse to divulge the origins of SCP-776-B. The average age of SCP-776-A members ranges from 23 to 51 years of age. This cycle of aging progresses as follows:",,,,,,,,
777,Euclid,2," SCP-777 is an area of land spanning five square kilometers located in the ¦¦¦¦¦¦ Desert, referred to by locals as 'The Kingdom of Sand'. Unidentified radio interference is present within SCP-777, with the source currently unknown.",https://scp-wiki.wdfiles.com/local--files/scp-777/771-1-new.jpg,,,,,,,
778,Euclid,2," SCP-778 is an area of land of undetermined size located in [REDACTED] National Park. SCP-778 is currently defined on all maps, signs, and other media representing it as a hiking trail leading to a destination known as ""Paradise Falls"". Whether ""Paradise Falls"" exists is currently unknown and perhaps unknowable.",,,,,,,,
779,Safe,1," SCP-779 is a species of insect similar in appearance to the common bee or a wasp. Specimens of SCP-779 are typically colored red and black, although variations in this have been noted among their populace. SCP-779 usually breed and live in human residences, but sightings of SCP-779 have been reported at rivers and lakes, suggesting the possible existence of a subspecies.",https://scp-wiki.wdfiles.com/local--files/scp-779/779-new.jpg,,,,,,,
780,Safe,1," SCP-780 is a small bead, 1 cm in diameter, shaped like a rounded gem with numerous facets and a hole at its center. It appears to be made of a clear amorphous substance; studies suggest it has a structure similar to that of polyvinyl chloride, but this does not account for its reaction to plants. While SCP-780 does not melt at temperatures exceeding 3500 K, cooling it to below 24 K temporarily changes its structure into a crystalline form, allowing it to be damaged by blunt impacts.",,,,,,,,
,Euclid,2," SCP-781 appears to be a human male of Mediterranean descent, approximately [REDACTED] years old as of ¦/¦/10. However, when he was first recovered in ¦/¦/97, he appeared to be approximately [REDACTED] years old. Autopsies performed on the subject have determined SCP-781 to be physiologically identical to average humans. The reasons for any anomalies surrounding SCP-781, including decreased rate of aging, are unknown.",,,,,,,,
782,Safe,1," SCP-782 is an anonymously published self-help book entitled ""Three Easy Steps to an All-New You"". No author is listed, and its publisher, ¦¦¦¦¦¦¦ ¦¦¦¦¦, closed in 199¦. As ¦¦¦¦¦¦¦ ¦¦¦¦¦ was a so-called ""vanity publisher"", none of the individuals associated with it claim to remember such a book, or indeed most of the books they published. In addition, all of ¦¦¦¦¦¦¦ ¦¦¦¦¦'s records were destroyed when its CEO, ¦¦¦¦¦¦ ¦¦¦¦¦¦¦, burnt down the company's head office in an attempt to commit insurance fraud. Due to these factors, SCP-782's unknown origins should not be considered paranormal in nature.",,,,,,,,
783,Keter,3," SCP-783 is a hostile entity currently preying upon the residents of Temby, a rural hamlet in Oxfordshire, England. It has a period of activity lasting roughly seventy days over the fall and winter months, occurring every twelve years. It exclusively attacks those who are alone and indoors after sunset.",https://scp-wiki.wdfiles.com/local--files/scp-783/arm3.jpg,,,,,,,
784,Euclid,2," SCP-784 is a neighborhood in the town of ¦¦¦¦, Texas. Currently SCP-784 is made up of twenty-four houses and two apartment buildings, all of which are decorated with ¦¦¦¦¦¦-brand Christmas lights at a density of approximately fifteen lights per square meter of housing. SCP-784 will always be covered by between 12 and 33 centimeters of snow, though no unseasonable weather will occur above SCP-784.",https://scp-wiki.wdfiles.com/local--files/scp-784/scp-784-2.jpg,,,,,,,
785,Keter,3, SCP-785 comprises any restaurant with a name containing the phrase “Uncle ¦¦¦¦¦'s ¦¦¦¦ ¦¦¦¦¦’”. The restaurant name is designated SCP-785-1; the actual restaurant is designated SCP-785-2.,,,,,,,,
786,Safe,1," SCP-786 is a large funnel composed of high-density ¦¦¦¦¦¦¦¦¦ polymer. Its appearance matches a conventional kitchen funnel, and the symbols ""8 OZ."" are embossed on the outside just under the rim of the large end, but the funnel has an internal diameter of 1.14 m across its wide end and 9.50 cm across its narrow end. Its internal volume is 408.8 liters, which is approximately 1730 times larger than its professed 8 ounce capacity or a factor of 12 3 .",,,,,,,,
787,Safe,1," SCP-787 is a Boeing 747-200 airliner of unknown manufacturing date and call sign. The exterior of SCP-787 has been painted over, including all passenger windows: Paint was wet upon recovery, drying soon after. The mechanical components of SCP-787 are all undamaged and functional, and show no signs of use. Nonmechanical components of SCP-787, including carpeting, upholstery, and luggage, are in an advanced state of decay. The pilot and co-pilot’s seats have been removed, replaced with two piles of computer components arranged in the shape of chairs.",,,,,,,,
788,Euclid,2," SCP-788 is a creature resembling an African carp ( Labeo coubie ), approximately 3.2 m in length and composed entirely of ultramafic magma with a 'skin' of cracked picritic basalt. It is currently estimated to have a core temperature of approximately 1475 degrees Centigrade, though its skin temperature is typically much lower. Samples obtained from SCP-788 have shown no differentiation or internal structure.",,,,,,,,
789,Euclid,2," SCP-789 is an entity which resides within a well-kept, if apparently abandoned three-bedroom two-story house located in the outskirts of [REDACTED], North Dakota. Foundation databases contain no records of unrelated abnormal events in the area's history. No anomalous materials have been located in the house’s construction.",,,,,,,,
790,Euclid,2," SCP-790 is the animated blood of a human identified as Mr ¦¦¦¦ ¦¦¦¦¦¦¦¦- hereafter known as SCP-790-01; at present, it emanates almost constantly from SCP-790-01’s pores, tear ducts, salivary glands, and several deep wounds and scars that cover at least 70% of his body. These wounds are believed to be produced by SCP-790 itself over the course of several months.",,,,,,,,
791,Safe,1," SCP-791 appears to be a mass of liquid water held in a spherical shape by an unknown and undetectable force. Biological tissues can pass through SCP-791 as they would through normal water, and reports indicate the water to be similar to normal sea water, but with a lower salt content. It is impossible to “splash” SCP-791, however, water may be drawn out via the hands or mouth.",,,,,,,,
792,Euclid,2," SCP-792 is a wooded area measuring 4 square kilometers near the town of ¦¦¦¦¦¦¦, ¦¦. SCP-792 contains, at any given time, between 37 and 4,500 human corpses, hereby designated SCP-792-1. Instances of SCP-792-1 vary greatly in race, age, etc., with slight trends existing towards Caucasian and Hispanic descent and heightened age. All specimens are nude.",,,,,,,,
793,Euclid,2," SCP-793 is described as a hyper-reproductive paranormal variation of Human Congo trypanosomiasis (a parasitic protozoa also known as the ""African Sleeping Sickness"") inhabiting the abandoned ¦¦¦¦¦¦¦¦ ¦¦¦¦¦¦ Medicinal Center located in [DATA EXPUNGED], built by ¦¦¦¦¦¦¦ missionaries in 18¦¦. SCP-793's first known appearance was documented in 19¦¦. The hospital was subsequently relinquished from use ¦ years after due to exponential growth of SCP-793, but it was never demolished due to superstitions the populous and prominent ¦¦¦¦¦ and ¦¦¦¦¦¦¦¦ tribes held. In 19¦¦, the hospital was secured by the Foundation. SCP-793, in its passive form, does not appear to exist unless a suitable human host enters the Zone of Denial (ZoD), which is currently estimated to be 13.4 meters from any point around the hospital.",https://scp-wiki.wdfiles.com/local--files/scp-793/793-1.jpg,,,,,,,
794,Euclid,2," SCP-794-01 is the derelict remains of an oceangoing vessel located at approximately +¦¦° ¦¦' ¦¦.¦¦"", +¦¦° ¦¦' ¦¦.¦¦"" near [REDACTED] in the Sahara Desert. According to markings in Cyrillic, the vessel is the [REDACTED], built in ¦¦¦¦ in the city of [REDACTED] in 19¦¦. This is inconsistent with available records, as no vessel by this name was ever constructed. The vessel is in an advanced state of disrepair consistent to exposure to the elements for a period of at least ¦¦ years, and to date it is not known how SCP-794-01 came to rest in its current location, nearly ¦¦¦ km from any body of water.",,,,,,,,
795,Euclid,2," SCP-795 is a large (8.2 kg) black long-haired domestic cat ( Felis catus ) of indeterminate breed, exhibiting two major anomalous abilities:",,,,,,,,
796,Euclid,2," SCP-796 is a condition whereby an affected individual begins to perceive a large feline entity in their peripheral vision. The exact appearance of said entity has so far not been ascertained; while the majority of subjects have described it as unusually large and dark-coloured, separate accounts of its shape, exact size, and overall body structure have been inconsistent. Affected subjects will often experience a strong sense of paranoia and dread, largely assumed to be a result of the entity's constant presence. However, no hostility has ever been reported on the part of the entity. Instead, SCP-796 will result in the manifestation of the following minor and largely harmless physical phenomena:",,,,,,,,
797,Euclid,2," SCP-797 is an oval-shaped object attracted to either dying or freshly deceased humans. SCP-797 is almost always seen with SCP-797-01, a collection of human flesh from various cadavers. When accompanied by SCP-797-01, subject will attempt to interact with any living human entering its containment.",,,,,,,,
798,Safe,1," SCP-798 resembles a healthy adult grey/beige rat. However, it has been seen to engage in behaviours usually associated with corvids or higher mammals, such as self-awareness, problem solving, and the limited use of tools, suggesting heightened intelligence. SCP-798’s dietary requirements, sleep patterns, and metabolism are normal for  Rattus norvegicus , and blood tests confirm that it belongs to this species.",,,,,,,,
,,6," Members of SCP-799 vary in size, shape, and superficial appearance, but always retain the appearance of a knit or woven item of bedding made from an unfamiliar but very soft natural fiber (resembling high-quality merino wool blend but identified as [DATA EXPUNGED]). An individual's mass ranges from approximately 0.5 to 6 kg and does not change except through ingestion and excretion, so any immediate increase in area comes at the expense of thickness and fabric ""weight"". The blanket retains heat unusually well. Its coloration and markings are highly variable; it tends strongly towards pastel hues and patterns resembling stylized neotenous animals, particularly when its mass is less than about 2 kg.",,,,,,,,
800,Euclid,2," SCP-800 is a 42 cm x 166 cm East Asian paper scroll painting of variable style and subject. Radioisotopic dating has determined that it dates from the mid-19th century. SCP-800 currently displays as an ink painting of two Korean warriors placed above one another, the upper armed with a bow and the lower armed with a  saingeom -style sword. The painting style resembles 17th century Joseon dynasty art, despite SCP-800's paper scroll being more common in Japanese or Chinese painting.",http://scp-wiki.wdfiles.com/local--files/scp-800/eagle%20painting.jpg,,,,,,,
801,Euclid,2," SCP-801 is a collection of seven articles of fur clothing, found inside a hunting lodge in the Adirondack mountains. Attempts to trace the owner of the lodge were unsuccessful; though locals insisted that they had seen lights and heard gunshots in the area until recently, Foundation personnel discovered no further evidence of recent occupation.",,,,,,,,
802,Euclid,2," SCP-802 appears to be a World War II era Renault Char B1 medium battle tank. However, unlike regular tanks, SCP-802 is able to operate on its own. It is unknown whether SCP-802 is sapient, or possesses any sort of intelligence at all, but it is clear through long-range infrared scans and constant surveillance that SCP-802 has no physical crew manning it. The tank itself, while operational, is in incredibly poor condition. While personnel have been unable to get close enough to properly examine it, it is clear that it is heavily damaged. The top turret is completely missing, its hull weapon is non-operational, the treads are nearly falling off, and the hull is pitted and worn with age and battle damage. However, it is still capable of operating beyond its projected performance specifications and is able to achieve speeds of up to 40 kilometers per hour as opposed to the documented 28 kilometers per hour. Infrared scans have also shown signs of trace heat around where the engines should be located, which are inconsistent with the heat signatures of a conventional engine, making SCP-802's primary method of propulsion unknown. SCP-802 is also highly resistant to damage. Attempts to destroy it have been met with failure, as SCP-802 can take repeated hits from anti-tank weapons and remain operational. While the damage caused only seems to be cosmetic at best, it can successfully drive SCP-802 away temporarily.",,,,,,,,
803,Euclid,2," SCP-803-1 is a currently undetermined number of autonomous machines, resembling small umbrellas, averaging 170 centimetres in width and 150 centimetres in height. An average specimen is almost indistinguishable from a normal umbrella. There are no identifying marks or labels on instances of SCP-803-1. When unfolded, a large amount of medical equipment is visible on the underside of SCP-803-1's canopy. These include vials of varying liquids and gases, plastic tubing, syringes, scalpels, various motors and joints, [DATA EXPUNGED]. All specimens possess the ability to retract, disguise or otherwise hide this equipment, making identification of SCP-803-1 in the field difficult. All attempts to disassemble or deactivate instances of SCP-803 are forbidden by order of Dr. ¦¦¦¦¦¦ (see addendum 803-01).",,,,,,,,
804,Keter,3," SCP-804 is the remains of an art installation titled ""World Without Man,"" revealed on ¦¦/¦¦/20¦¦, by the defunct artists' group  Unelmat Paremmasta Maailmasta . According to documentation retrieved and deleted from the artists' website during clean-up procedure, SCP-804 was originally a large, clear globe of the Earth, with several smaller globes and video equipment within. Promotional material on the website implied that the globe was to display images of pastoral wilderness untouched by mankind contrasted with visuals of abandoned human industry and decaying landmarks.",https://scp-wiki.wdfiles.com/local--files/scp-804/ice-ball-new.JPG,,,,,,,
